Date,Game,Opposition,Home/Away,Metric,Value
2024-10-19,Twickenham (A),Twickenham,A,Opposition Kicks,17
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Opposition Kicks,12
2024-11-09,Eastbourne (A),Eastbourne,A,Opposition Kicks,11
2024-11-16,Trinity (H),Trinity,H,Opposition Kicks,14
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Opposition Kicks,18
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Opposition Kicks,14
2025-01-18,Twickenham (H),Twickenham,H,Opposition Kicks,16
2025-02-08,Hove (A),Hove,A,Opposition Kicks,27
2024-09-07,London Cornish (H),London Cornish,H,Opposition Line Breaks,1
2024-10-12,Hove (H),Hove,H,Opposition Line Breaks,5
2024-10-19,Twickenham (A),Twickenham,A,Opposition Line Breaks,3
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Opposition Line Breaks,4
2024-11-09,Eastbourne (A),Eastbourne,A,Opposition Line Breaks,5
2024-11-16,Trinity (H),Trinity,H,Opposition Line Breaks,6
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Opposition Line Breaks,0
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Opposition Line Breaks,1
2025-01-18,Twickenham (H),Twickenham,H,Opposition Line Breaks,8
2025-02-08,Hove (A),Hove,A,Opposition Line Breaks,2
2024-09-07,London Cornish (H),London Cornish,H,Attacking Kicks,10
2024-10-12,Hove (H),Hove,H,Attacking Kicks,9
2024-10-19,Twickenham (A),Twickenham,A,Attacking Kicks,18
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Attacking Kicks,11
2024-11-09,Eastbourne (A),Eastbourne,A,Attacking Kicks,13
2024-11-16,Trinity (H),Trinity,H,Attacking Kicks,13
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Attacking Kicks,14
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Attacking Kicks,19
2025-01-18,Twickenham (H),Twickenham,H,Attacking Kicks,15
2025-02-08,Hove (A),Hove,A,Attacking Kicks,18
2024-09-07,London Cornish (H),London Cornish,H,Attacking Line Breaks,2
2024-10-12,Hove (H),Hove,H,Attacking Line Breaks,1
2024-10-19,Twickenham (A),Twickenham,A,Attacking Line Breaks,3
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Attacking Line Breaks,2
2024-11-09,Eastbourne (A),Eastbourne,A,Attacking Line Breaks,5
2024-11-16,Trinity (H),Trinity,H,Attacking Line Breaks,3
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Attacking Line Breaks,2
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Attacking Line Breaks,1
2025-01-18,Twickenham (H),Twickenham,H,Attacking Line Breaks,3
2025-02-08,Hove (A),Hove,A,Attacking Line Breaks,2
2024-09-07,London Cornish (H),London Cornish,H,Attacking sets,55
2024-10-12,Hove (H),Hove,H,Attacking sets,47
2024-10-19,Twickenham (A),Twickenham,A,Attacking sets,41
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Attacking sets,34
2024-11-09,Eastbourne (A),Eastbourne,A,Attacking sets,42
2024-11-16,Trinity (H),Trinity,H,Attacking sets,38
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Attacking sets,48
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Attacking sets,51
2025-01-18,Twickenham (H),Twickenham,H,Attacking sets,41
2025-02-08,Hove (A),Hove,A,Attacking sets,43
2024-09-07,London Cornish (H),London Cornish,H,Gain line +,9
2024-10-12,Hove (H),Hove,H,Gain line +,2
2024-10-19,Twickenham (A),Twickenham,A,Gain line +,5
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Gain line +,4
2024-11-09,Eastbourne (A),Eastbourne,A,Gain line +,4
2024-11-16,Trinity (H),Trinity,H,Gain line +,6
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Gain line +,4
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Gain line +,5
2025-01-18,Twickenham (H),Twickenham,H,Gain line +,7
2025-02-08,Hove (A),Hove,A,Gain line +,7
2024-09-07,London Cornish (H),London Cornish,H,Gain line -,3
2024-10-12,Hove (H),Hove,H,Gain line -,5
2024-10-19,Twickenham (A),Twickenham,A,Gain line -,2
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Gain line -,2
2024-11-09,Eastbourne (A),Eastbourne,A,Gain line -,2
2024-11-16,Trinity (H),Trinity,H,Gain line -,3
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Gain line -,2
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Gain line -,5
2025-01-18,Twickenham (H),Twickenham,H,Gain line -,4
2025-02-08,Hove (A),Hove,A,Gain line -,3
2024-09-07,London Cornish (H),London Cornish,H,Starter Play Gainline (%),0.75
2024-10-12,Hove (H),Hove,H,Starter Play Gainline (%),0.29
2024-10-19,Twickenham (A),Twickenham,A,Starter Play Gainline (%),0.71
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Starter Play Gainline (%),0.67
2024-11-09,Eastbourne (A),Eastbourne,A,Starter Play Gainline (%),0.67
2024-11-16,Trinity (H),Trinity,H,Starter Play Gainline (%),0.67
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Starter Play Gainline (%),0.67
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Starter Play Gainline (%),0.5
2025-01-18,Twickenham (H),Twickenham,H,Starter Play Gainline (%),0.64
2025-02-08,Hove (A),Hove,A,Starter Play Gainline (%),0.7000000000000001
2024-09-07,London Cornish (H),London Cornish,H,Off 9 (%),0.62
2024-10-12,Hove (H),Hove,H,Off 9 (%),0.54
2024-10-19,Twickenham (A),Twickenham,A,Off 9 (%),0.67
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Off 9 (%),0.56
2024-11-09,Eastbourne (A),Eastbourne,A,Off 9 (%),0.51
2024-11-16,Trinity (H),Trinity,H,Off 9 (%),0.53
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Off 9 (%),0.64
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Off 9 (%),0.65
2025-01-18,Twickenham (H),Twickenham,H,Off 9 (%),0.53
2025-02-08,Hove (A),Hove,A,Off 9 (%),0.64
2024-09-07,London Cornish (H),London Cornish,H,Off 10 (%),0.2
2024-10-12,Hove (H),Hove,H,Off 10 (%),0.23
2024-10-19,Twickenham (A),Twickenham,A,Off 10 (%),0.16
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Off 10 (%),0.26
2024-11-09,Eastbourne (A),Eastbourne,A,Off 10 (%),0.31
2024-11-16,Trinity (H),Trinity,H,Off 10 (%),0.26
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Off 10 (%),0.24
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Off 10 (%),0.22
2025-01-18,Twickenham (H),Twickenham,H,Off 10 (%),0.21
2025-02-08,Hove (A),Hove,A,Off 10 (%),0.16
2024-09-07,London Cornish (H),London Cornish,H,Off 12 (%),0.17
2024-10-12,Hove (H),Hove,H,Off 12 (%),0.23
2024-10-19,Twickenham (A),Twickenham,A,Off 12 (%),0.16
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Off 12 (%),0.18
2024-11-09,Eastbourne (A),Eastbourne,A,Off 12 (%),0.18
2024-11-16,Trinity (H),Trinity,H,Off 12 (%),0.21
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Off 12 (%),0.12
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Off 12 (%),0.14
2025-01-18,Twickenham (H),Twickenham,H,Off 12 (%),0.26
2025-02-08,Hove (A),Hove,A,Off 12 (%),0.2
2024-09-07,London Cornish (H),London Cornish,H,Penalties For,16
2024-10-12,Hove (H),Hove,H,Penalties For,9
2024-10-19,Twickenham (A),Twickenham,A,Penalties For,10
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Penalties For,9
2024-11-09,Eastbourne (A),Eastbourne,A,Penalties For,16
2024-11-16,Trinity (H),Trinity,H,Penalties For,5
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Penalties For,14
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Penalties For,17
2025-01-18,Twickenham (H),Twickenham,H,Penalties For,4
2025-02-08,Hove (A),Hove,A,Penalties For,12
2024-09-07,London Cornish (H),London Cornish,H,Penalties Against,14
2024-10-12,Hove (H),Hove,H,Penalties Against,13
2024-10-19,Twickenham (A),Twickenham,A,Penalties Against,5
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Penalties Against,11
2024-11-09,Eastbourne (A),Eastbourne,A,Penalties Against,17
2024-11-16,Trinity (H),Trinity,H,Penalties Against,9
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Penalties Against,10
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Penalties Against,7
2025-01-18,Twickenham (H),Twickenham,H,Penalties Against,11
2025-02-08,Hove (A),Hove,A,Penalties Against,8
2024-09-07,London Cornish (H),London Cornish,H,Ruck Attack,6
2024-10-12,Hove (H),Hove,H,Ruck Attack,5
2024-10-19,Twickenham (A),Twickenham,A,Ruck Attack,0
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Ruck Attack,3
2024-11-09,Eastbourne (A),Eastbourne,A,Ruck Attack,2
