match_id,season,date,date_raw,competition,home_team,away_team,home_score,away_score
651564,2017-2018,2018-03-03,"Saturday, 03 Mar 2018",Sussex 3 'Forwards Choice',Hellingly II,East Grinstead II,15,5
651573,2017-2018,2018-03-24,"Saturday, 24 Mar 2018",Sussex 3 'Forwards Choice',Pulborough III,East Grinstead II,52,15
741827,2018-2019,2018-09-08,"Saturday, 08 Sep 2018",Sussex 3 EAST Bonfire Boy,East Grinstead II,St Leonards Cinque Ports,59,17
741830,2018-2019,2018-09-15,"Saturday, 15 Sep 2018",Sussex 3 EAST Bonfire Boy,Hellingly II,East Grinstead II,20,32
741836,2018-2019,2018-09-22,"Saturday, 22 Sep 2018",Sussex 3 EAST Bonfire Boy,Heathfield & Waldron III,East Grinstead II,10,20
741840,2018-2019,2018-09-29,"Saturday, 29 Sep 2018",Sussex 3 EAST Bonfire Boy,East Grinstead II,Crawley II,81,17
741844,2018-2019,2018-10-06,"Saturday, 06 Oct 2018",Sussex 3 EAST Bonfire Boy,Crowborough II,East Grinstead II,5,10
741845,2018-2019,2018-10-20,"Saturday, 20 Oct 2018",Sussex 3 EAST Bonfire Boy,East Grinstead II,Lewes II,29,24
741851,2018-2019,2018-10-27,"Saturday, 27 Oct 2018",Sussex 3 EAST Bonfire Boy,East Grinstead II,Rye,40,0
741855,2018-2019,2018-11-03,"Saturday, 03 Nov 2018",Sussex 3 EAST Bonfire Boy,East Grinstead II,Hellingly II,17,31
741858,2018-2019,2018-11-17,"Saturday, 17 Nov 2018",Sussex 3 EAST Bonfire Boy,East Grinstead II,Heathfield & Waldron III,40,0
741864,2018-2019,2018-12-01,"Saturday, 01 Dec 2018",Sussex 3 EAST Bonfire Boy,Crawley II,East Grinstead II,0,54
741867,2018-2019,2018-12-08,"Saturday, 08 Dec 2018",Sussex 3 EAST Bonfire Boy,East Grinstead II,Crowborough II,32,7
741871,2018-2019,2018-12-15,"Saturday, 15 Dec 2018",Sussex 3 EAST Bonfire Boy,Lewes II,East Grinstead II,0,37
741874,2018-2019,2019-01-05,"Saturday, 05 Jan 2019",Sussex 3 EAST Bonfire Boy,Rye,East Grinstead II,58,14
741878,2018-2019,2019-01-12,"Saturday, 12 Jan 2019",Sussex 3 EAST Bonfire Boy,St Leonards Cinque Ports,East Grinstead II,19,49
750482,2018-2019,2019-01-26,"Saturday, 26 Jan 2019",Sussex 3 EAST Bonfire Boy,East Grinstead II,Rye,,
750486,2018-2019,2019-02-09,"Saturday, 09 Feb 2019",Sussex 3 EAST Bonfire Boy,Crowborough II,East Grinstead II,55,12
750491,2018-2019,2019-02-16,"Saturday, 16 Feb 2019",Sussex 3 EAST Bonfire Boy,Hellingly II,East Grinstead II,27,7
750495,2018-2019,2019-03-02,"Saturday, 02 Mar 2019",Sussex 3 EAST Bonfire Boy,East Grinstead II,Crowborough II,7,50
750499,2018-2019,2019-03-09,"Saturday, 09 Mar 2019",Sussex 3 EAST Bonfire Boy,East Grinstead II,Hellingly II,39,10
750504,2018-2019,2019-03-23,"Saturday, 23 Mar 2019",Sussex 3 EAST Bonfire Boy,Rye,East Grinstead II,28,48
820678,2019-2020,2019-09-28,"Saturday, 28 Sep 2019",Sussex Div. 3 East,Lewes II,East Grinstead II,,
820682,2019-2020,2019-10-05,"Saturday, 05 Oct 2019",Sussex Div. 3 East,Uckfield II,East Grinstead II,38,43
